1	1	1	ай-1	2006-09-15 00:00:00	4
2	2	2	ай-2	2006-09-16 00:00:00	4
3	3	3	ай-3	2006-09-17 00:00:00	4
4	4	4	ай-4	2006-09-18 00:00:00	4
5	5	5	ай-5	2006-09-19 00:00:00	4
6	1	6	ай-6	2006-09-20 00:00:00	4
7	2	7	ай-7	2006-09-21 00:00:00	4
8	3	1	ай-8	2006-09-22 00:00:00	4
9	4	2	ай-9	2006-09-23 00:00:00	4
10	5	3	ай-10	2006-09-24 00:00:00	4
11	1	4	ай-11	2006-09-25 00:00:00	4
12	2	5	ай-12	2006-09-26 00:00:00	4
13	3	6	ай-14	2006-09-27 00:00:00	4
14	4	7	ай-15	2006-09-28 00:00:00	4
15	5	1	ай-16	2006-09-29 00:00:00	4
16	1	2	ай-17	2006-09-30 00:00:00	4
17	2	3	ай-18	2006-10-01 00:00:00	4
18	3	4	ай-19	2006-10-02 00:00:00	4
19	4	5	ай-1	2006-10-03 00:00:00	4
20	5	6	ай-12	2006-10-04 00:00:00	4
21	1	7	ай-14	2006-10-05 00:00:00	4
22	2	1	ай-15	2006-10-06 00:00:00	4
23	3	2	ай-16	2006-10-07 00:00:00	4
24	4	3	ай-17	2006-10-08 00:00:00	4
25	5	4	ай-18	2006-10-09 00:00:00	4
26	1	5	ай-19	2006-10-10 00:00:00	4
27	2	6	ай-20	2006-10-11 00:00:00	4
28	3	7	ай-1	2006-10-12 00:00:00	4
